filename,title,author,source_format,original_url,
19851001_001.xhtml,The Promise of World Peace,Universal House of Justice,xhtml,https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/messages/19851001_001/19851001_001.docx,
20020401_001.xhtml,Letter to the World's Religious Leaders,Universal House of Justice,xhtml,https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/messages/20020401_001/20020401_001.docx,
20231128_001.xhtml,Reflections on the First Century of the Formative Age,Universal House of Justice,xhtml,https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/messages/20231128_001/20231128_001.docx,
additional-prayers-revealed-bahaullah.xhtml,Additional Prayers Revealed by Baha'u'llah,Baha'u'llah,xhtml,https://www.bahai.org/library/authoritative-texts/bahaullah/additional-prayers-revealed-bahaullah/additional-prayers-revealed-bahaullah.xhtml,
additional-tablets-extracts-from-tablets-revealed-bahaullah.xhtml,Additional Tablets and Extracts from Tablets Revealed by Baha'u'llah,Baha'u'llah,xhtml,https://www.bahai.org/library/authoritative-texts/bahaullah/additional-tablets-extracts-from-tablets-revealed-bahaullah/additional-tablets-extracts-from-tablets-revealed-bahaullah.xhtml,
additional-prayers-revealed-abdul-baha.xhtml,Additional Prayers Revealed by 'Abdu'l-Baha,'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/additional-prayers-revealed-abdul-baha/additional-prayers-revealed-abdul-baha.xhtml,
additional-tablets-extracts-talks-abdul-baha.xhtml,"Additional Tablets, Extracts and Talks by 'Abdu'l-Baha",'Abdu'l-Baha,xhtml,https://www.bahai.org/library/authoritative-texts/abdul-baha/additional-tablets-extracts-talks/additional-tablets-extracts-talks-abdul-baha.xhtml,
advent-divine-justice.xhtml,The Advent of Divine Justice,Shoghi Effendi,xhtml,https://www.bahai.org/library/authoritative-texts/shoghi-effendi/advent-divine-justice/advent-divine-justice.docx,
bahai-administration.xhtml,Baha'i Administration,Shoghi Effendi,xhtml,https://www.bahai.org/library/authoritative-texts/shoghi-effendi/bahai-administration/bahai-administration.docx,
bahai-funds-contributions.xhtml,Baha'i Funds and Contributions,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/bahai-funds-contributions/bahai-funds-contributions.docx,
bahai-meetings.xhtml,Baha'i Meetings,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/bahai-meetings/bahai-meetings.docx,
bahai-prayers.xhtml,Baha'i Prayers,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/prayers/bahai-prayers/bahai-prayers.docx,
bahai-prayers-tablets-children.xhtml,Baha'i Prayers and Tablets for Children,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/prayers/bahai-prayers-tablets-children/bahai-prayers-tablets-children.docx,
call-divine-beloved.xhtml,The Call of the Divine Beloved,Baha'u'llah,xhtml,https://www.bahai.org/library/authoritative-texts/bahaullah/call-divine-beloved/call-divine-beloved.docx,
chaste-holy-life.xhtml,A Chaste and Holy Life,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/chaste-holy-life/chaste-holy-life.docx,
citadel-faith.xhtml,Citadel of Faith,Shoghi Effendi,xhtml,https://www.bahai.org/library/authoritative-texts/shoghi-effendi/citadel-faith/citadel-faith.docx,
codification-law-huququllah.xhtml,A Codification of the Law of Huququ'llah,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/codification-law-huququllah/codification-law-huququllah.docx,
consultation.xhtml,Consultation,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/consultation/consultation.docx,
covenant.xhtml,The Covenant,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/covenant/covenant.docx?a6022c84,
crisis-victory.xhtml,Crisis and Victory,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/crisis-victory/crisis-victory.docx,
days-remembrance.xhtml,Days of Remembrance,Baha'u'llah,xhtml,https://www.bahai.org/library/authoritative-texts/bahaullah/days-remembrance/days-remembrance.docx,
decisive-hour.xhtml,This Decisive Hour,Shoghi Effendi,xhtml,https://www.bahai.org/library/authoritative-texts/shoghi-effendi/decisive-hour/decisive-hour.docx,
epistle-son-wolf.xhtml,Epistle to the Son of the Wolf,Baha'u'llah,xhtml,https://www.bahai.org/library/authoritative-texts/bahaullah/epistle-son-wolf/epistle-son-wolf.docx,
excellence-all-things.xhtml,Excellence in All Things,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/excellence-all-things/excellence-all-things.docx,
Family Life.xhtml,Family Life,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/family-life/family-life.xhtml,
fire-and-light.xhtml,Fire and Light,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/fire-and-light/fire-and-light.docx,
framework-action.pdf,Framework for Action,Universal House of Justice,pdf,https://www.bahai.org/library/authoritative-texts/the-universal-house-of-justice/framework-action/framework-action.pdf,
gems-divine-mysteries.xhtml,Gems of Divine Mysteries,Baha'u'llah,xhtml,https://www.bahai.org/library/authoritative-texts/bahaullah/gems-divine-mysteries/gems-divine-mysteries.docx,
give-me-thy-grace-serve-thy-loved-ones.xhtml,Give Me Thy Grace to Serve Thy Loved Ones,Compilation,xhtml,https://www.bahai.org/library/authoritative-texts/compilations/give-me-thy-grace-serve-thy-loved-ones/give-me-thy-grace-serve-thy-loved-ones.docx,
