doc_id,author,title,canonical_url,ingested_at
176,"'Abdu'l-Baha","'Abdu'l-Baha's Tablets to The Hague",https://www.bahai.org/library/authoritative-texts/abdul-baha/tablets-hague-abdul-baha/tablets-hague-abdul-baha.xhtml,2026-02-24T20:52:36.246608900Z
177,"'Abdu'l-Baha","A Traveler's Narrative",https://www.bahai.org/library/authoritative-texts/abdul-baha/travelers-narrative/travelers-narrative.docx,2026-02-24T20:52:36.300244600Z
168,"'Abdu'l-Baha","Light of the World",https://www.bahai.org/library/authoritative-texts/abdul-baha/light-of-the-world/light-of-the-world.docx,2026-02-24T20:52:34.130382200Z
169,"'Abdu'l-Baha","Memorials of the Faithful",https://www.bahai.org/library/authoritative-texts/abdul-baha/memorials-faithful/memorials-faithful.docx,2026-02-24T20:52:34.326972700Z
170,"'Abdu'l-Baha","Paris Talks",https://www.bahai.org/library/authoritative-texts/abdul-baha/paris-talks/paris-talks.docx,2026-02-24T20:52:34.581663900Z
172,"'Abdu'l-Baha","Selections from the Writings of 'Abdu'l-Baha",https://www.bahai.org/library/authoritative-texts/abdul-baha/selections-writings-abdul-baha/selections-writings-abdul-baha.docx,2026-02-24T20:52:35.418349800Z
173,"'Abdu'l-Baha","Some Answered Questions",https://www.bahai.org/library/authoritative-texts/abdul-baha/some-answered-questions/some-answered-questions.docx,2026-02-24T20:52:35.871008200Z
174,"'Abdu'l-Baha","Tablet to Dr. Auguste Forel",https://www.bahai.org/library/authoritative-texts/abdul-baha/tablet-auguste-forel/tablet-auguste-forel.docx,2026-02-24T20:52:36.136817Z
175,"'Abdu'l-Baha","Tablets of the Divine Plan",https://www.bahai.org/library/authoritative-texts/abdul-baha/tablets-divine-plan/tablets-divine-plan.docx,2026-02-24T20:52:36.176925600Z
171,"'Abdu'l-Baha","The Promulgation of Universal Peace",https://www.bahai.org/library/authoritative-texts/abdul-baha/promulgation-universal-peace/promulgation-universal-peace.docx,2026-02-24T20:52:34.883568700Z
178,"'Abdu'l-Baha","Twelve Table Talks Given by 'Abdu'l-Baha in Akka",https://www.bahai.org/library/authoritative-texts/abdul-baha/twelve-table-talks-abdul-baha/twelve-table-talks-abdul-baha.xhtml,2026-02-24T20:52:36.394558200Z
179,"'Abdu'l-Baha","Will and Testament of 'Abdu'l-Baha",https://www.bahai.org/library/authoritative-texts/abdul-baha/will-testament-abdul-baha/will-testament-abdul-baha.docx,2026-02-24T20:52:36.446647500Z
167,Bab,"Selections from the Writings of the Bab",https://www.bahai.org/library/authoritative-texts/the-bab/selections-writings-bab/selections-writings-bab.docx,2026-02-24T20:52:33.881639600Z
165,"Baha'u'llah","Additional Prayers Revealed by Baha'u'llah",https://www.bahai.org/library/authoritative-texts/bahaullah/additional-prayers-revealed-bahaullah/additional-prayers-revealed-bahaullah.xhtml,2026-02-24T20:52:33.724809900Z
166,"Baha'u'llah","Additional Tablets and Extracts from Tablets Revealed by Baha'u'llah",https://www.bahai.org/library/authoritative-texts/bahaullah/additional-tablets-extracts-from-tablets-revealed-bahaullah/additional-tablets-extracts-from-tablets-revealed-bahaullah.xhtml,2026-02-24T20:52:33.778368400Z
154,"Baha'u'llah","Days of Remembrance",https://www.bahai.org/library/authoritative-texts/bahaullah/days-remembrance/days-remembrance.docx,2026-02-24T20:52:31.062327200Z
155,"Baha'u'llah","Epistle to the Son of the Wolf",https://www.bahai.org/library/authoritative-texts/bahaullah/epistle-son-wolf/epistle-son-wolf.docx,2026-02-24T20:52:31.531596300Z
156,"Baha'u'llah","Gems of Divine Mysteries",https://www.bahai.org/library/authoritative-texts/bahaullah/gems-divine-mysteries/gems-divine-mysteries.docx,2026-02-24T20:52:31.664010400Z
157,"Baha'u'llah","Gleanings from the Writings of Baha'u'llah",https://www.bahai.org/library/authoritative-texts/bahaullah/gleanings-writings-bahaullah/gleanings-writings-bahaullah.docx,2026-02-24T20:52:31.777242700Z
161,"Baha'u'llah","Prayers and Meditations by Baha'u'llah",https://www.bahai.org/library/authoritative-texts/bahaullah/prayers-meditations/prayers-meditations.docx,2026-02-24T20:52:32.777210200Z
164,"Baha'u'llah","Tablets of Baha'u'llah",https://www.bahai.org/library/authoritative-texts/bahaullah/tablets-bahaullah/tablets-bahaullah.docx,2026-02-24T20:52:33.390630800Z
153,"Baha'u'llah","The Call of the Divine Beloved",https://www.bahai.org/library/authoritative-texts/bahaullah/call-divine-beloved/call-divine-beloved.docx,2026-02-24T20:52:30.726065Z
158,"Baha'u'llah","The Hidden Words",https://www.bahai.org/library/authoritative-texts/bahaullah/hidden-words/hidden-words.docx,2026-02-24T20:52:32.180902500Z
159,"Baha'u'llah","The Kitab-i-Aqdas",https://www.bahai.org/library/authoritative-texts/bahaullah/kitab-i-aqdas/kitab-i-aqdas.docx,2026-02-24T20:52:32.324145200Z
160,"Baha'u'llah","The Kitab-i-Iqan",https://www.bahai.org/library/authoritative-texts/bahaullah/kitab-i-iqan/kitab-i-iqan.docx,2026-02-24T20:52:32.612948Z
162,"Baha'u'llah","The Summons of the Lord of Hosts",https://www.bahai.org/library/authoritative-texts/bahaullah/summons-lord-hosts/summons-lord-hosts.docx,2026-02-24T20:52:33.091499500Z
163,"Baha'u'llah","The Tabernacle of Unity",https://www.bahai.org/library/authoritative-texts/bahaullah/tabernacle-unity/tabernacle-unity.docx,2026-02-24T20:52:33.287563700Z
198,Compilation,"A Chaste and Holy Life",https://www.bahai.org/library/authoritative-texts/compilations/chaste-holy-life/chaste-holy-life.docx,2026-02-24T20:52:45.319262Z
199,Compilation,"A Codification of the Law of Huququ'llah",https://www.bahai.org/library/authoritative-texts/compilations/codification-law-huququllah/codification-law-huququllah.docx,2026-02-24T20:52:45.371665400Z
200,Compilation,"Baha'i Funds and Contributions",https://www.bahai.org/library/authoritative-texts/compilations/bahai-funds-contributions/bahai-funds-contributions.docx,2026-02-24T20:52:45.394745500Z
201,Compilation,"Baha'i Meetings",https://www.bahai.org/library/authoritative-texts/compilations/bahai-meetings/bahai-meetings.docx,2026-02-24T20:52:45.453294800Z
180,Compilation,"Baha'i Prayers",https://www.bahai.org/library/authoritative-texts/prayers/bahai-prayers/bahai-prayers.docx,2026-02-24T20:52:36.522776700Z
181,Compilation,"Baha'i Prayers and Tablets for Children",https://www.bahai.org/library/authoritative-texts/prayers/bahai-prayers-tablets-children/bahai-prayers-tablets-children.docx,2026-02-24T20:52:36.548600900Z
202,Compilation,Consultation,https://www.bahai.org/library/authoritative-texts/compilations/consultation/consultation.docx,2026-02-24T20:52:45.481190500Z
204,Compilation,"Crisis and Victory",https://www.bahai.org/library/authoritative-texts/compilations/crisis-victory/crisis-victory.docx,2026-02-24T20:52:45.555412600Z
205,Compilation,"Excellence in All Things",https://www.bahai.org/library/authoritative-texts/compilations/excellence-all-things/excellence-all-things.docx,2026-02-24T20:52:45.616771600Z
206,Compilation,"Family Life",https://www.bahai.org/library/authoritative-texts/compilations/family-life/family-life.xhtml,2026-02-24T20:52:45.693282300Z
207,Compilation,"Fire and Light",https://www.bahai.org/library/authoritative-texts/compilations/fire-and-light/fire-and-light.docx,2026-02-24T20:52:45.794552800Z
208,Compilation,"Give Me Thy Grace to Serve Thy Loved Ones",https://www.bahai.org/library/authoritative-texts/compilations/give-me-thy-grace-serve-thy-loved-ones/give-me-thy-grace-serve-thy-loved-ones.docx,2026-02-24T20:52:45.815512Z
209,Compilation,"Huququ-llah-The Right of God",https://www.bahai.org/library/authoritative-texts/compilations/huququllah-right-god/huququllah-right-god.docx,2026-02-24T20:52:45.855529500Z
214,Compilation,"Issues Related to the Study of the Baha'i Faith",https://www.bahai.org/library/authoritative-texts/compilations/issues-related-study-bahai-faith/issues-related-study-bahai-faith.docx,2026-02-24T20:52:46.106873500Z
216,Compilation,Music,https://www.bahai.org/library/authoritative-texts/compilations/music/music.docx,2026-02-24T20:52:46.172825300Z
218,Compilation,Peace,https://www.bahai.org/library/authoritative-texts/compilations/peace/peace.docx,2026-02-24T20:52:46.306589700Z
220,Compilation,"Prayer and Devotional Life",https://www.bahai.org/library/authoritative-texts/compilations/prayer-devotional-life/prayer-devotional-life.docx,2026-02-24T20:52:46.423546600Z
222,Compilation,Scholarship,https://www.bahai.org/library/authoritative-texts/compilations/scholarship/scholarship.docx,2026-02-24T20:52:46.525087400Z
225,Compilation,"Social Action",https://www.bahai.org/library/authoritative-texts/compilations/social-action/social-action.docx,2026-02-24T20:52:46.741549600Z
203,Compilation,"The Covenant",https://www.bahai.org/library/authoritative-texts/compilations/covenant/covenant.docx,2026-02-24T20:52:45.513850100Z
211,Compilation,"The Importance of Obligatory Prayer and Fasting",https://www.bahai.org/library/authoritative-texts/compilations/importance-obligatory-prayer-fasting/importance-obligatory-prayer-fasting.docx,2026-02-24T20:52:45.958527400Z
212,Compilation,"The Importance of Prayer Meditation and the Devotional Attitude",https://www.bahai.org/library/authoritative-texts/compilations/importance-prayer-meditation-devotional-attitude/importance-prayer-meditation-devotional-attitude.docx,2026-02-24T20:52:45.982725900Z
210,Compilation,"The Importance of the Arts in Promoting the Faith",https://www.bahai.org/library/authoritative-texts/compilations/importance-art/importance-art.docx,2026-02-24T20:52:45.910528100Z
